cell,component,elapsed_us,operations,bytes,checksum,status
noopt-rxbvm,fixture_build,192142,11684,35893248,11684,ok
noopt-rxbvm,sqlite_transfer,59725,11684,35893248,11684,ok
noopt-rxbvm,decode,9774,11684,35893248,35893248,ok
noopt-rxbvm,arithmetic,706924,8973312,35893248,3.19999999523163,ok
noopt-rxbvm,selection,16461,11684,0,1031,ok
noopt-rxbvm,estimated_working_memory,0,128,399680,399680,ok
noopt-rxbvm,total,797077,11684,35893248,1031,ok
P1_VEC_03_OK cell=noopt-rxbvm rows=11684 dimension=768 pages=92 top_checksum=1031 components=sqlite_transfer,decode,arithmetic,selection,estimated_working_memory,total
noopt-rxbvm,process_peak_memory,0,1,18882560,18882560,ok
