cell,component,elapsed_us,operations,bytes,checksum,status
opt-rxvme,fixture_build,284682,11684,35893248,11684,ok
opt-rxvme,sqlite_transfer,60153,11684,35893248,11684,ok
opt-rxvme,decode,7557,11684,35893248,35893248,ok
opt-rxvme,arithmetic,688406,8973312,35893248,3.19999999523163,ok
opt-rxvme,selection,15487,11684,0,1031,ok
opt-rxvme,estimated_working_memory,0,128,399680,399680,ok
opt-rxvme,total,776000,11684,35893248,1031,ok
P1_VEC_03_OK cell=opt-rxvme rows=11684 dimension=768 pages=92 top_checksum=1031 components=sqlite_transfer,decode,arithmetic,selection,estimated_working_memory,total
opt-rxvme,process_peak_memory,0,1,26595328,26595328,ok
